voltage,current
0.000000000000000000e+00,1.928687695543313029e-07
5.555555555555555802e-01,3.524884749147462154e-07
1.111111111111111160e+00,1.785485244052863262e-07
1.666666666666666741e+00,9.394343412057582916e-07
2.222222222222222321e+00,3.707591737162931839e-07
2.777777777777777679e+00,1.289555236514311462e-07
3.333333333333333481e+00,5.092416220133280966e-07
3.888888888888889284e+00,6.976631522284671931e-07
4.444444444444444642e+00,5.391897036913390609e-07
5.000000000000000000e+00,6.093449644422442494e-07
