voltage,current
0.000000000000000000e+00,2.130816643703454633e-07
5.050505050505050414e-02,1.056193408562722174e-08
1.010101010101010083e-01,5.036649256823519247e-07
1.515151515151515194e-01,2.074139290601125659e-07
2.020202020202020166e-01,5.132340228566862398e-07
2.525252525252525415e-01,4.164821245431983213e-07
3.030303030303030387e-01,8.177147038511979091e-07
3.535353535353535359e-01,3.273342296433290359e-07
4.040404040404040331e-01,2.554430764220953682e-07
4.545454545454545303e-01,6.087899352408026952e-07
5.050505050505050830e-01,1.152805067668796155e-07
5.555555555555555802e-01,6.157555527438031504e-07
6.060606060606060774e-01,1.749575461021313069e-08
6.565656565656565746e-01,6.278847479993046914e-07
7.070707070707070718e-01,4.387302705621403888e-07
7.575757575757575690e-01,9.282208076314816427e-07
8.080808080808080662e-01,6.979201105014801594e-07
8.585858585858585634e-01,9.064298455119004089e-07
9.090909090909090606e-01,6.581578216261899600e-07
9.595959595959595578e-01,5.158414593592167639e-07
1.010101010101010166e+00,9.971113881964188329e-08
1.060606060606060552e+00,8.544820174580913494e-08
1.111111111111111160e+00,3.123836786028323392e-07
1.161616161616161547e+00,8.749802701041959488e-07
1.212121212121212155e+00,8.665801903656109943e-07
1.262626262626262541e+00,6.769131083403770557e-07
1.313131313131313149e+00,6.834424883516379556e-07
1.363636363636363535e+00,8.764896547869499864e-07
1.414141414141414144e+00,6.542565194944037698e-07
1.464646464646464530e+00,3.849590911553375431e-07
1.515151515151515138e+00,6.147399786498808115e-09
1.565656565656565524e+00,6.005547625250986239e-07
1.616161616161616132e+00,2.726460049012936194e-07
1.666666666666666741e+00,9.530977440825289613e-07
1.717171717171717127e+00,1.873087505912930206e-07
1.767676767676767735e+00,9.994968265383913439e-07
1.818181818181818121e+00,4.837561736380914917e-07
1.868686868686868729e+00,5.274524557722148975e-08
1.919191919191919116e+00,9.991582064176754523e-07
1.969696969696969724e+00,9.242282153141102521e-07
2.020202020202020332e+00,6.374660398736400335e-07
2.070707070707070496e+00,1.867215838840141663e-08
2.121212121212121104e+00,2.035870521912508332e-08
2.171717171717171713e+00,8.179142938613505620e-07
2.222222222222222321e+00,6.367949312463516647e-08
2.272727272727272485e+00,1.974602537270065925e-07
2.323232323232323093e+00,8.343353882967639662e-07
2.373737373737373701e+00,9.771790231374698165e-07
2.424242424242424310e+00,2.575752504486509411e-07
2.474747474747474918e+00,3.683856947546801798e-07
2.525252525252525082e+00,5.401995802603629907e-07
2.575757575757575690e+00,7.874476876543704867e-07
2.626262626262626299e+00,1.033902253512511930e-07
2.676767676767676907e+00,6.313145893471513482e-07
2.727272727272727071e+00,2.617146476064853324e-07
2.777777777777777679e+00,2.782531369171214831e-08
2.828282828282828287e+00,5.076764027201054588e-07
2.878787878787878896e+00,7.852161392150727921e-07
2.929292929292929060e+00,6.745915597883906840e-07
2.979797979797979668e+00,1.850735259190877679e-07
3.030303030303030276e+00,6.819931407153529829e-07
3.080808080808080884e+00,5.672845215201286513e-07
3.131313131313131048e+00,4.291442195522410184e-07
3.181818181818181657e+00,3.555278415258003719e-07
3.232323232323232265e+00,7.681567237910285468e-07
3.282828282828282873e+00,2.498837040255023102e-07
3.333333333333333481e+00,2.262182261265442809e-07
3.383838383838383645e+00,1.578113250443435748e-07
3.434343434343434254e+00,9.649582710111960892e-07
3.484848484848484862e+00,4.542298859859761338e-08
3.535353535353535470e+00,6.362142316147536426e-07
3.585858585858585634e+00,8.922058519799022983e-07
3.636363636363636243e+00,7.124130391391410673e-07
3.686868686868686851e+00,2.214140872387151377e-07
3.737373737373737459e+00,2.764948523759519550e-07
3.787878787878787623e+00,3.328008054466869779e-07
3.838383838383838231e+00,8.690767139978538721e-08
3.888888888888888840e+00,6.856832939316088864e-07
3.939393939393939448e+00,4.310229970640040032e-07
3.989898989898989612e+00,3.105266392579392135e-07
4.040404040404040664e+00,5.763434756102538242e-07
4.090909090909090828e+00,9.899418683660057776e-07
4.141414141414140992e+00,1.081084844018024264e-07
4.191919191919192045e+00,1.013381037120889458e-07
4.242424242424242209e+00,2.154301015979093209e-07
4.292929292929293261e+00,3.379928648718345326e-07
4.343434343434343425e+00,6.150026324846361012e-07
4.393939393939393590e+00,1.870364809775626324e-07
4.444444444444444642e+00,2.813363421067770480e-07
4.494949494949494806e+00,8.672028924507590833e-08
4.545454545454544970e+00,8.436205410380754380e-07
4.595959595959596022e+00,5.852294464706827709e-07
4.646464646464646187e+00,2.198216667269241525e-07
4.696969696969697239e+00,6.224641496704078825e-07
0.000000000000000000e+00,7.404495707118993936e-07
4.747474747474747403e+00,8.502842506980346101e-08
5.050505050505050414e-02,3.957183374331581985e-07
4.797979797979797567e+00,5.764235941615887236e-07
1.010101010101010083e-01,5.721033932171539630e-07
4.848484848484848619e+00,9.306360057763848816e-07
1.515151515151515194e-01,7.683411505163604954e-07
4.898989898989898784e+00,1.150641807928942558e-08
2.020202020202020166e-01,9.564760758713574061e-07
4.949494949494949836e+00,9.629282747031902288e-07
2.525252525252525415e-01,7.208739433425079154e-07
5.000000000000000000e+00,9.457320996017298528e-07
