voltage,current
0.000000000000000000e+00,3.279837467273621595e-07
5.555555555555555802e-01,4.468446042355873596e-07
1.111111111111111160e+00,9.152681541664170296e-07
1.666666666666666741e+00,9.135099715154253514e-07
2.222222222222222321e+00,3.998729312033950416e-07
2.777777777777777679e+00,9.158700254527240948e-08
3.333333333333333481e+00,1.388772891907596907e-08
3.888888888888889284e+00,2.288663029889775802e-07
4.444444444444444642e+00,6.003740739366429715e-07
5.000000000000000000e+00,4.577026865597406316e-07
