voltage,current
0.000000000000000000e+00,2.145907980944284778e-07
5.555555555555555802e-01,6.472873945282786114e-07
1.111111111111111160e+00,3.911350501027880148e-07
1.666666666666666741e+00,4.994923829223884984e-08
2.222222222222222321e+00,4.918819745606672496e-07
2.777777777777777679e+00,6.726376460658155227e-07
3.333333333333333481e+00,5.789555863132176630e-07
3.888888888888889284e+00,9.897792266471086716e-07
4.444444444444444642e+00,7.702830924434322621e-07
5.000000000000000000e+00,2.608142719392337532e-07
