voltage,current
0.000000000000000000e+00,4.514106614460221448e-07
5.555555555555555802e-01,6.279766817749377312e-08
1.111111111111111160e+00,4.203262739744383349e-07
1.666666666666666741e+00,6.886172086066602614e-07
2.222222222222222321e+00,6.713291974291880629e-07
2.777777777777777679e+00,4.446457671848682215e-07
3.333333333333333481e+00,8.853481344441656852e-07
3.888888888888889284e+00,4.642053530178643252e-07
4.444444444444444642e+00,2.489266200205339985e-07
5.000000000000000000e+00,1.574759247465211481e-07
